"";"team.name";"player.name";"num_elim_players_in_line";"number_passes";"num_eliminated_players";"number_of_matches";"average_length_gain";"nb_passes_forward";"nb_pass_broke_line";"average.ball.end.x";"average.ball.end.y";"average_nb_players_forward";"nb_pass_complete";"num_eliminated_players_complete_pass";"real_average_length_gain";"ratio_pass_broke_line";"ratio_nb_eliminated_players";"num_elim_players_in_line_by_match";"number_passes_by_match";"num_eliminated_players_by_match";"average_length_gain_by_match";"nb_passes_forward_by_match";"nb_pass_broke_line_by_match";"average.ball.end.x_by_match";"average.ball.end.y_by_match";"average_nb_players_forward_by_match";"nb_pass_complete_by_match";"real_average_length_gain_by_match";"num_eliminated_players_complete_pass_by_match";"num_eliminated_players_in_line_by_match"
"820";"England";"Bukayo Saka";10;78;102;4;2,6;2;0;63,75;35,83;6,5;9;1;-7,08;0;0,098;2,5;19,5;25,5;0,65;0,5;0;15,938;8,957;1,625;2,25;-1,77;0,25;2,5
"1032";"England";"Jack Grealish";11;73;109;5;6,9;3;0;86,96;45,18;5,6;4;8;-0,62;0;0,101;2,2;14,6;21,8;1,38;0,6;0;17,392;9,036;1,12;0,8;-0,124;1,6;2,2
"130";"Germany";"Timo Werner";2;28;28;3;4,67;3;0;63,91;39,78;4,54;10;5;-5,11;0;0,071;0,667;9,333;9,333;1,557;1;0;21,303;13,26;1,513;3,333;-1,703;1,667;0,667
"218";"Ukraine";"Taras Stepanenko";22;94;139;2;11,03;33;3;61,59;32,34;4,08;37;42;4,96;0,032;0,158;11;47;69,5;5,515;16,5;1,5;30,795;16,17;2,04;18,5;2,48;21;11
"961";"Sweden";"Dejan Kulusevski";5;38;32;2;6,01;11;1;85,59;35,95;5,79;23;10;-1,29;0,026;0,156;2,5;19;16;3,005;5,5;0,5;42,795;17,975;2,895;11,5;-0,645;5;2,5
"707";"Ukraine";"Ruslan Malinovskiy";34;113;254;4;15,86;16;3;72,43;26,06;4,7;27;45;5,42;0,027;0,134;8,5;28,25;63,5;3,965;4;0,75;18,108;6,515;1,175;6,75;1,355;11,25;8,5
"1043";"Ukraine";"Artem Besedin";0;9;9;2;0;0;0;40,55;9,05;5;2;0;-8,5;0;0;0;4,5;4,5;0;0;0;20,275;4,525;2,5;1;-4,25;0;0
"1179";"Sweden";"Filip Helander";0;3;3;1;4,57;3;0;23,1;27,2;2,67;3;3;4,57;0;0;0;3;3;4,57;3;0;23,1;27,2;2,67;3;4,57;3;0
"1220";"Ukraine";"Artem Dovbyk";0;4;1;1;37,4;1;0;87,15;35,38;3,25;3;0;6,75;0;0;0;4;1;37,4;1;0;87,15;35,38;3,25;3;6,75;0;0
"1252";"Ukraine";"Roman Bezus";0;1;0;1;0;0;0;80,2;50,2;10;1;0;-13,5;0;0;0;1;0;0;0;0;80,2;50,2;10;1;-13,5;0;0
"97";"Spain";"José Luis Gayà Peña";1;43;45;1;11,42;18;1;58,03;19,69;7,05;40;32;-2,62;0,023;0,022;1;43;45;11,42;18;1;58,03;19,69;7,05;40;-2,62;32;1
"1021";"Croatia";"Duje Ćaleta-Car";24;93;128;2;14,63;38;8;42,86;35,08;5,72;40;70;9,08;0,086;0,188;12;46,5;64;7,315;19;4;21,43;17,54;2,86;20;4,54;35;12
"160";"Croatia";"Josip Juranović";6;70;87;2;14,57;6;0;50,64;59,29;4,36;9;11;1,86;0;0,069;3;35;43,5;7,285;3;0;25,32;29,645;2,18;4,5;0,93;5,5;3
"7451";"Croatia";"Mislav Oršić";1;14;27;1;12,63;8;1;98,27;23,36;3,14;7;13;5,32;0,071;0,037;1;14;27;12,63;8;1;98,27;23,36;3,14;7;5,32;13;1
"777";"Croatia";"Ante Budimir";0;6;9;1;9,17;3;0;79,42;34,73;3,5;5;7;-1,52;0;0;0;6;9;9,17;3;0;79,42;34,73;3,5;5;-1,52;7;0
"792";"Croatia";"Mario Pašalić";1;23;27;2;18,09;7;1;72,44;21,99;5;17;20;0,47;0,043;0,037;0,5;11,5;13,5;9,045;3,5;0,5;36,22;10,995;2,5;8,5;0,235;10;0,5
"134";"Belgium";"Romelu Lukaku Menama";8;68;93;5;9,81;8;0;81,59;39,44;3,33;9;2;3,01;0;0,086;1,6;13,6;18,6;1,962;1,6;0;16,318;7,888;0,666;1,8;0,602;0,4;1,6
"219";"Belgium";"Axel Witsel";16;192;198;4;6,79;23;2;57,82;33,53;6,92;48;36;-2,22;0,01;0,081;4;48;49,5;1,698;5,75;0,5;14,455;8,383;1,73;12;-0,555;9;4
"320";"Belgium";"Jan Vertonghen";59;261;446;4;18,99;54;10;58,21;17,45;4,51;58;132;14,97;0,038;0,132;14,75;65,25;111,5;4,747;13,5;2,5;14,552;4,362;1,128;14,5;3,743;33;14,75
