"";"team.name";"player.name";"num_elim_players_in_line";"number_passes";"num_eliminated_players";"number_of_matches";"average_length_gain";"nb_passes_forward";"nb_pass_broke_line";"average.ball.end.x";"average.ball.end.y";"average_nb_players_forward";"nb_pass_complete";"num_eliminated_players_complete_pass";"real_average_length_gain";"ratio_pass_broke_line";"ratio_nb_eliminated_players";"num_elim_players_in_line_by_match";"number_passes_by_match";"num_eliminated_players_by_match";"average_length_gain_by_match";"nb_passes_forward_by_match";"nb_pass_broke_line_by_match";"average.ball.end.x_by_match";"average.ball.end.y_by_match";"average_nb_players_forward_by_match";"nb_pass_complete_by_match";"real_average_length_gain_by_match";"num_eliminated_players_complete_pass_by_match";"num_eliminated_players_in_line_by_match"
"774";"Scotland";"Kevin Nisbet";0;7;3;3;0;0;0;52,6;22;6,5;1;0;-8,35;0;0;0;2,333;1;0;0;0;17,533;7,333;2,167;0,333;-2,783;0;0
"779";"Scotland";"Nathan Patterson";0;8;6;1;12,17;3;0;57,44;56,58;5,25;7;2;1,58;0;0;0;8;6;12,17;3;0;57,44;56,58;5,25;7;1,58;2;0
"768";"Czech Republic";"Tomáš Pekhart";0;4;2;1;11,1;1;0;69,45;24,62;5,75;1;0;-2,88;0;0;0;4;2;11,1;1;0;69,45;24,62;5,75;1;-2,88;0;0
"7721";"England";"Tyrone Mings";6;121;130;3;33,77;3;1;40,61;36,22;3,67;8;6;0,19;0,008;0,046;2;40,333;43,333;11,257;1;0,333;13,537;12,073;1,223;2,667;0,063;2;2
"324";"Belgium";"Jason Denayer";7;136;152;2;12,31;45;2;67,15;62,56;7,9;62;73;5,4;0,015;0,046;3,5;68;76;6,155;22,5;1;33,575;31,28;3,95;31;2,7;36,5;3,5
"417";"Belgium";"Anga Dedryck Boyata";8;153;96;2;9,48;67;1;64,31;37,13;9,17;70;63;8,73;0,007;0,083;4;76,5;48;4,74;33,5;0,5;32,155;18,565;4,585;35;4,365;31,5;4
"99";"Belgium";"Leandro Trossard";2;44;70;1;14,4;20;1;72,6;56,7;6,57;36;39;1,41;0,023;0,029;2;44;70;14,4;20;1;72,6;56,7;6,57;36;1,41;39;2
"146";"Belgium";"Jeremy Doku";4;52;78;2;7,29;16;1;91,04;55,91;5,36;25;38;-0,1;0,019;0,051;2;26;39;3,645;8;0,5;45,52;27,955;2,68;12,5;-0,05;19;2
"153";"Finland";"Glen Kamara";25;135;204;3;10,42;25;2;60,8;29,91;6,96;44;56;1,98;0,015;0,123;8,333;45;68;3,473;8,333;0,667;20,267;9,97;2,32;14,667;0,66;18,667;8,333
"163";"Finland";"Tim Sparv";25;63;88;2;14,56;17;8;51,59;32,75;6,95;33;43;1,94;0,127;0,284;12,5;31,5;44;7,28;8,5;4;25,795;16,375;3,475;16,5;0,97;21,5;12,5
"174";"Finland";"Teemu Pukki";9;37;46;3;11,4;4;0;66,86;32,98;4,67;14;7;-2,94;0;0,196;3;12,333;15,333;3,8;1,333;0;22,287;10,993;1,557;4,667;-0,98;2,333;3
"186";"Finland";"Joel Pohjanpalo";3;46;80;3;9,14;9;1;65,8;28,55;3,69;11;11;4,64;0,022;0,038;1;15,333;26,667;3,047;3;0,333;21,933;9,517;1,23;3,667;1,547;3,667;1
"236";"Belgium";"Nacer Chadli";0;54;54;2;6,09;22;0;79,48;18,19;7,06;44;28;-3,2;0;0;0;27;27;3,045;11;0;39,74;9,095;3,53;22;-1,6;14;0
"541";"Finland";"Robin Lod";20;90;144;3;6,35;15;1;57,72;45,03;5,93;22;22;-1,19;0,011;0,139;6,667;30;48;2,117;5;0,333;19,24;15,01;1,977;7,333;-0,397;7,333;6,667
"583";"Finland";"Joona Toivio";37;95;266;3;16,37;28;6;44,22;53,51;6,74;33;65;9,14;0,063;0,139;12,333;31,667;88,667;5,457;9,333;2;14,74;17,837;2,247;11;3,047;21,667;12,333
"601";"Finland";"Paulus Arajuuri";16;77;127;3;13,32;30;5;46,11;36,07;7,46;40;62;8,2;0,065;0,126;5,333;25,667;42,333;4,44;10;1,667;15,37;12,023;2,487;13,333;2,733;20,667;5,333
"642";"Finland";"Daniel O""Shaughnessy";51;122;378;3;16,09;33;4;58,19;24,79;7,19;38;60;8,45;0,033;0,135;17;40,667;126;5,363;11;1,333;19,397;8,263;2,397;12,667;2,817;20;17
"841";"Finland";"Jukka Raitala";15;66;167;3;18,29;14;2;62,68;44,18;5,29;15;15;6,62;0,03;0,09;5;22;55,667;6,097;4,667;0,667;20,893;14,727;1,763;5;2,207;5;5
"971";"Finland";"Lukáš Hrádecký";31;54;287;3;61,18;12;1;67,96;44,26;2,46;3;11;56,26;0,019;0,108;10,333;18;95,667;20,393;4;0,333;22,653;14,753;0,82;1;18,753;3,667;10,333
"1071";"Finland";"Jere Juhani Uronen";27;74;160;3;14,83;13;3;64,48;19,86;6;20;24;1,97;0,041;0,169;9;24,667;53,333;4,943;4,333;1;21,493;6,62;2;6,667;0,657;8;9
"6711";"Finland";"Rasmus Schüller";5;48;94;3;10,16;11;1;64,68;33,67;6,3;17;13;2,79;0,021;0,053;1,667;16;31,333;3,387;3,667;0,333;21,56;11,223;2,1;5,667;0,93;4,333;1,667
"7071";"Finland";"Nikolai Alho";0;5;10;1;7,8;2;0;92,68;50,9;5,4;3;0;-1,74;0;0;0;5;10;7,8;2;0;92,68;50,9;5,4;3;-1,74;0;0
"7111";"Finland";"Joni Ensio Kauko";13;27;68;3;15,11;8;3;75,5;41,33;3,7;8;28;9,66;0,111;0,191;4,333;9;22,667;5,037;2,667;1;25,167;13,777;1,233;2,667;3,22;9,333;4,333
"7831";"Belgium";"Michy Batshuayi Tunga";0;9;6;1;8,47;3;0;58,03;17,28;6,56;8;6;-0,36;0;0;0;9;6;8,47;3;0;58,03;17,28;6,56;8;-0,36;6;0
"844";"Belgium";"Christian Benteke Liolo";0;4;4;1;6;1;0;78,57;30,05;5,5;3;0;-1,75;0;0;0;4;4;6;1;0;78,57;30,05;5,5;3;-1,75;0;0
"9081";"Belgium";"Hans Vanaken";0;2;1;1;8,5;1;0;59,5;50,85;7,5;2;1;-2,5;0;0;0;2;1;8,5;1;0;59,5;50,85;7,5;2;-2,5;1;0
"937";"Finland";"Fredrik Jensen";0;3;5;2;6,6;1;0;85,3;27,8;6;1;1;6,6;0;0;0;1,5;2,5;3,3;0,5;0;42,65;13,9;3;0,5;3,3;0,5;0
"646";"Ukraine";"Marlos Romero Bonfim";0;30;25;2;7,92;4;0;70,75;48,65;6,62;7;2;-0,04;0;0;0;15;12,5;3,96;2;0;35,375;24,325;3,31;3,5;-0,02;1;0
"109";"Russia";"Dmitriy Barinov";2;90;162;2;11,85;47;1;63,97;56,34;7,6;58;64;4,7;0,011;0,012;1;45;81;5,925;23,5;0,5;31,985;28,17;3,8;29;2,35;32;1
"660";"Finland";"Pyry Henri Hidipo Soiri";3;8;9;1;7,47;4;1;41,8;59,73;6,38;7;9;-2,05;0,125;0,333;3;8;9;7,47;4;1;41,8;59,73;6,38;7;-2,05;9;3
"7012";"Finland";"Lassi Lappalainen";0;5;13;1;10,12;4;0;101,46;53,86;3,6;3;1;6,9;0;0;0;5;13;10,12;4;0;101,46;53,86;3,6;3;6,9;1;0
"7951";"Turkey";"Orkun Kökçü";0;6;14;1;18,32;4;0;80,38;43,47;4,33;5;7;9,42;0;0;0;6;14;18,32;4;0;80,38;43,47;4,33;5;9,42;7;0
"8232";"Switzerland";"Loris Benito";0;6;6;1;6,83;4;0;86,3;13,37;4;3;3;3,48;0;0;0;6;6;6,83;4;0;86,3;13,37;4;3;3,48;3;0
"8272";"Turkey";"Dorukhan Toköz";2;4;13;1;10,27;3;1;68,53;57,33;3;3;7;7,5;0,25;0,154;2;4;13;10,27;3;1;68,53;57,33;3;3;7,5;7;2
"8441";"Switzerland";"Admir Mehmedi";0;22;26;2;9,02;4;0;82,93;27;4,14;6;8;0,71;0;0;0;11;13;4,51;2;0;41,465;13,5;2,07;3;0,355;4;0
"2112";"France";"Benjamin Pavard";18;153;248;3;10,35;44;2;73,96;63,07;5,19;66;93;3,18;0,013;0,073;6;51;82,667;3,45;14,667;0,667;24,653;21,023;1,73;22;1,06;31;6
"588";"France";"Ousmane Dembélé";2;7;3;1;9,8;1;1;84,83;56,87;6,57;4;3;-3,89;0,143;0,667;2;7;3;9,8;1;1;84,83;56,87;6,57;4;-3,89;3;2
"682";"Hungary";"Tamás Cseri";0;1;0;1;0,5;1;0;56,8;76,3;5;1;0;0,5;0;0;0;1;0;0,5;1;0;56,8;76,3;5;1;0,5;0;0
"7161";"France";"Olivier Giroud";2;10;5;2;7,82;4;1;102,75;25,17;0;2;3;7,82;0,1;0,4;1;5;2,5;3,91;2;0,5;51,375;12,585;0;1;3,91;1,5;1
"786";"France";"Thomas Lemar";5;7;14;1;11,13;3;1;80,06;27,61;6,57;6;5;-0,73;0,143;0,357;5;7;14;11,13;3;1;80,06;27,61;6,57;6;-0,73;5;5
"164";"England";"Reece James";17;81;95;1;10,92;35;5;62,17;61,85;5,36;79;91;-2,59;0,062;0,179;17;81;95;10,92;35;5;62,17;61,85;5,36;79;-2,59;91;17
"252";"England";"Philip Foden";14;71;61;3;18,78;12;1;77,42;56,44;5,34;24;13;2,4;0,014;0,23;4,667;23,667;20,333;6,26;4;0,333;25,807;18,813;1,78;8;0,8;4,333;4,667
"325";"Scotland";"Billy Gilmour";6;44;44;1;9,74;19;3;61,62;43,87;5,7;40;37;-0,59;0,068;0,136;6;44;44;9,74;19;3;61,62;43,87;5,7;40;-0,59;37;6
"223";"North Macedonia";"Stefan Spirovski";9;11;14;1;8,91;8;4;63,16;46,76;6;11;14;3,62;0,364;0,643;9;11;14;8,91;8;4;63,16;46,76;6;11;3,62;14;9
"686";"North Macedonia";"Kire Ristevski";0;8;19;1;13,95;6;0;52,99;18,95;4,25;7;19;6,64;0;0;0;8;19;13,95;6;0;52,99;18,95;4,25;7;6,64;19;0
"718";"North Macedonia";"Daniel Avramovski";0;3;0;1;0;0;0;24,67;51,13;4,67;3;0;-16,8;0;0;0;3;0;0;0;0;24,67;51,13;4,67;3;-16,8;0;0
"623";"Belgium";"Leander Dendoncker";0;81;66;2;9,48;9;0;55,26;48,64;6,48;23;14;-0,86;0;0;0;40,5;33;4,74;4,5;0;27,63;24,32;3,24;11,5;-0,43;7;0
"8511";"Denmark";"Andreas Skov Olsen";0;19;8;2;4,03;3;0;70,32;60,52;5,8;5;3;-1,72;0;0;0;9,5;4;2,015;1,5;0;35,16;30,26;2,9;2,5;-0,86;1,5;0
"800";"Belgium";"Dennis Praet";0;8;10;2;13,2;2;0;67,87;31,17;4,67;2;0;6,57;0;0;0;4;5;6,6;1;0;33,935;15,585;2,335;1;3,285;0;0
"1016";"Denmark";"Jonas Older Wind";7;17;26;2;11,62;4;1;62,62;61,58;3,2;4;8;6,98;0,059;0,269;3,5;8,5;13;5,81;2;0,5;31,31;30,79;1,6;2;3,49;4;3,5
"6831";"Wales";"Tyler Roberts";0;4;3;1;4,15;2;0;85,12;59,92;7;4;3;-1,38;0;0;0;4;3;4,15;2;0;85,12;59,92;7;4;-1,38;3;0
"688";"Wales";"David Brooks";2;8;8;2;0;0;0;66,1;52,6;10;2;0;-11,13;0;0,25;1;4;4;0;0;0;33,05;26,3;5;1;-5,565;0;1
"739";"Denmark";"Nicolai Møller Boilesen";0;3;8;1;4,87;3;0;86,57;25,93;3,67;2;3;4,87;0;0;0;3;8;4,87;3;0;86,57;25,93;3,67;2;4,87;3;0
"810";"Netherlands";"Marten de Roon";17;145;222;3;10,75;40;4;71,04;49,22;6,86;67;74;2,46;0,028;0,077;5,667;48,333;74;3,583;13,333;1,333;23,68;16,407;2,287;22,333;0,82;24,667;5,667
"2113";"Ukraine";"Oleksandr Zubkov";0;4;5;1;18,15;2;0;61,77;25,23;4,5;4;5;5,65;0;0;0;4;5;18,15;2;0;61,77;25,23;4,5;4;5,65;5;0
"778";"Netherlands";"Owen Wijndal";0;22;34;2;17,4;2;0;82,52;27,33;7,5;9;0;-8,13;0;0;0;11;17;8,7;1;0;41,26;13,665;3,75;4,5;-4,065;0;0
"7791";"Netherlands";"Nathan Aké";5;35;34;2;9,56;5;1;64,17;41,09;8,43;21;19;-3,09;0,029;0,147;2,5;17,5;17;4,78;2,5;0,5;32,085;20,545;4,215;10,5;-1,545;9,5;2,5
"963";"Netherlands";"Joël Veltman";2;8;23;1;21,96;5;1;50,4;55,88;3,12;7;21;7,28;0,125;0,087;2;8;23;21,96;5;1;50,4;55,88;3,12;7;7,28;21;2
"980";"Netherlands";"Luuk de Jong";0;12;15;2;10,13;3;0;95,46;54,74;1,8;2;0;3,04;0;0;0;6;7,5;5,065;1,5;0;47,73;27,37;0,9;1;1,52;0;0
"303";"France";"Clément Lenglet";12;36;47;1;8,12;31;6;59,06;37,64;5,08;34;45;6,56;0,167;0,255;12;36;47;8,12;31;6;59,06;37,64;5,08;34;6,56;45;12
"956";"France";"Marcus Thuram";0;3;2;1;3;1;0;94,33;27,37;5;2;0;-4,6;0;0;0;3;2;3;1;0;94,33;27,37;5;2;-4,6;0;0
"175";"Czech Republic";"Pavel Kadeřábek";11;35;77;1;15,84;23;4;60,57;18,03;3,4;26;38;4,59;0,114;0,143;11;35;77;15,84;23;4;60,57;18,03;3,4;26;4,59;38;11
"6771";"Austria";"Valentino Lazaro";3;10;13;1;10,63;3;1;75,72;57,09;6,5;9;13;-2,76;0,1;0,231;3;10;13;10,63;3;1;75,72;57,09;6,5;9;-2,76;13;3
"9001";"Austria";"Karim Onisiwo";0;1;0;1;0;0;0;36,5;28,7;0;1;0;-9,7;0;0;0;1;0;0;0;0;36,5;28,7;0;1;-9,7;0;0
"1212";"Poland";"Grzegorz Krychowiak";18;78;194;2;13,53;28;2;73,2;34,14;6,61;30;47;8,72;0,026;0,093;9;39;97;6,765;14;1;36,6;17,07;3,305;15;4,36;23,5;9
"2114";"Poland";"Maciej Rybus";5;38;65;1;15,41;16;2;74,13;23,43;7,03;30;16;-0,81;0,053;0,077;5;38;65;15,41;16;2;74,13;23,43;7,03;30;-0,81;16;5
"584";"Slovakia";"Jakub Hromada";4;33;41;2;11,95;13;0;46,87;37,02;6,22;19;11;3,5;0;0,098;2;16,5;20,5;5,975;6,5;0;23,435;18,51;3,11;9,5;1,75;5,5;2
"806";"Slovakia";"Ján Greguš";0;1;0;1;0;0;0;34;31,5;4;1;0;-3,4;0;0;0;1;0;0;0;0;34;31,5;4;1;-3,4;0;0
"136";"Scotland";"Ryan Christie";3;8;4;1;11,5;1;1;78,51;44,47;6,12;7;4;-7,14;0,125;0,75;3;8;4;11,5;1;1;78,51;44,47;6,12;7;-7,14;4;3
"224";"Scotland";"Liam Cooper";16;68;116;1;18,43;40;6;49,37;29,78;3,72;57;55;7,51;0,088;0,138;16;68;116;18,43;40;6;49,37;29,78;3,72;57;7,51;55;16
"187";"Scotland";"Jack Hendry";6;21;51;1;18,11;15;2;60,91;54,66;3,33;18;36;10;0,095;0,118;6;21;51;18,11;15;2;60,91;54,66;3,33;18;10;36;6
"5841";"Scotland";"James Forrest";0;5;6;1;18,55;2;0;61,54;43,32;5,4;3;1;3,14;0;0;0;5;6;18,55;2;0;61,54;43,32;5,4;3;3,14;1;0
"679";"Hungary";"David Siger";0;4;4;1;4,45;2;0;48,5;33,83;5,25;3;0;-1,72;0;0;0;4;4;4,45;2;0;48,5;33,83;5,25;3;-1,72;0;0
"725";"Hungary";"Roland Varga";0;1;5;1;18,9;1;0;84,2;76,7;0;1;5;18,9;0;0;0;1;5;18,9;1;0;84,2;76,7;0;1;18,9;5;0
"225";"Denmark";"Christian Dannemann Eriksen";2;26;21;1;8,82;11;1;83,13;41,11;6,81;20;15;0,31;0,038;0,095;2;26;21;8,82;11;1;83,13;41,11;6,81;20;0,31;15;2
"785";"Finland";"Marcus Forss";0;1;0;1;0;0;0;49,8;49,8;2;1;0;-5,1;0;0;0;1;0;0;0;0;49,8;49,8;2;1;-5,1;0;0
"8101";"Finland";"Leo Onni Artturi Väisänen";0;1;6;1;62,7;1;0;101,3;66,1;0;0;0;62,7;0;0;0;1;6;62,7;1;0;101,3;66,1;0;0;62,7;0;0
"425";"Slovakia";"Stanislav Lobotka";6;23;22;1;7,81;12;1;48;46,5;6,7;22;20;0,91;0,043;0,273;6;23;22;7,81;12;1;48;46,5;6,7;22;0,91;20;6
"704";"Spain";"Adama Traoré Diarra";0;13;4;1;7,2;2;0;75,39;51,08;7,77;12;4;-8,08;0;0;0;13;4;7,2;2;0;75,39;51,08;7,77;12;-8,08;4;0
"7141";"Slovakia";"Tomáš Suslov";0;4;0;1;0;0;0;62,7;57,25;9;4;0;-10,95;0;0;0;4;0;0;0;0;62,7;57,25;9;4;-10,95;0;0
"504";"Poland";"Jakub Świerczok";0;6;4;1;13,7;1;0;61,8;49,83;5;6;4;-2,37;0;0;0;6;4;13,7;1;0;61,8;49,83;5;6;-2,37;4;0
"5771";"Poland";"Przemysław Płacheta";2;9;32;1;10,59;8;1;84,51;54,66;4,11;4;7;9,02;0,111;0,062;2;9;32;10,59;8;1;84,51;54,66;4,11;4;9,02;7;2
"165";"Russia";"Andrey Semenov";14;47;89;1;15,68;33;3;46,22;52,04;7,66;40;40;7,01;0,064;0,157;14;47;89;15,68;33;3;46,22;52,04;7,66;40;7,01;40;14
"253";"Belgium";"Timothy Castagne";5;10;10;1;6,86;5;2;66,66;65,8;7,7;10;10;-1,81;0,2;0,5;5;10;10;6,86;5;2;66,66;65,8;7,7;10;-1,81;10;5
"571";"Russia";"Anton Shunin";7;15;77;1;35,4;15;2;49,63;37,56;4,2;10;34;35,4;0,133;0,091;7;15;77;35,4;15;2;49,63;37,56;4,2;10;35,4;34;7
"931";"Russia";"Yuri Zhirkov";3;11;29;1;24,17;6;1;56,97;17,06;6,36;8;18;9,7;0,091;0,103;3;11;29;24,17;6;1;56,97;17,06;6,36;8;9,7;18;3
"480";"Russia";"Denis Cheryshev";0;3;0;1;0;0;0;76,8;43,63;6,67;2;0;-2,2;0;0;0;3;0;0;0;0;76,8;43,63;6,67;2;-2,2;0;0
